arr_num,population,superficie_km2,conso_mwh,nb_bornes,deficit_bornes,energie_add_mwh,ratio_ve_resid_pct,stress_index,p_star_local,p_star_delta,niveau_stress
1,17915,1.83,31632.0,20,270,7391.2,23.366,0.2361,6.0,-0.71,VERT
2,22390,0.99,38520.0,15,348,9526.5,24.731,0.7164,7.29,0.58,ROUGE
3,34115,1.17,57903.0,18,534,14618.2,25.246,0.8213,7.57,0.86,ROUGE
4,28088,1.6,48824.0,22,433,11853.4,24.278,0.6315,7.06,0.35,AMBRE
5,60179,2.54,103302.0,70,904,24747.0,23.956,0.6738,7.18,0.47,ROUGE
6,44762,2.15,77292.0,69,655,17930.6,23.199,0.5907,6.95,0.24,AMBRE
7,57191,4.09,100134.0,112,814,22283.2,22.253,0.2027,5.91,-0.8,VERT
8,38749,3.88,68391.0,124,503,13769.6,20.134,0.0129,5.4,-1.31,VERT
9,59474,2.18,101338.0,58,905,24774.4,24.447,0.7458,7.37,0.66,ROUGE
10,93373,2.89,157443.0,53,1457,39885.4,25.333,0.8605,7.68,0.97,ROUGE
11,154023,3.67,254458.0,86,2405,65836.9,25.873,1.0,8.05,1.34,ROUGE
12,143035,16.32,253069.0,120,2193,60033.4,23.722,0.2501,6.04,-0.67,VERT
13,183067,7.15,313015.0,117,2845,77881.9,24.881,0.7584,7.4,0.69,ROUGE
14,136591,5.62,234175.0,79,2131,58336.1,24.911,0.7468,7.37,0.66,ROUGE
15,238190,8.5,405233.0,212,3641,99672.4,24.596,0.764,7.42,0.71,ROUGE
16,163731,16.31,288949.0,216,2433,66603.4,23.05,0.2167,5.95,-0.76,VERT
17,168454,5.67,285587.0,124,2600,71175.0,24.922,0.8045,7.53,0.82,ROUGE
18,197157,6.01,332096.0,93,3097,84780.4,25.529,0.8794,7.73,1.02,ROUGE
19,186088,6.79,316997.0,79,2931,80236.1,25.311,0.8073,7.53,0.82,ROUGE
20,196941,5.98,331642.0,121,3064,83877.0,25.291,0.8642,7.69,0.98,ROUGE
